interval,timbre_type,model,value
1.25,Harmonic,harmonicity,1.091543513001648
1.26,Carillon,roughness,0.5662581764501545
1.26,Carillon,harmonicity,0.939117535405296
1.26,Harmonic,roughness,0.3474234630227492
1.26,Harmonic,harmonicity,1.0880605108016583
1.27,Carillon,roughness,0.5650223486145726
1.27,Carillon,harmonicity,0.940394677167335
1.27,Harmonic,roughness,0.34490470439447174
1.27,Harmonic,harmonicity,1.0806634047323762
1.28,Carillon,roughness,0.5637465261140447
1.28,Carillon,harmonicity,0.9414597236065952
1.28,Harmonic,roughness,0.3424020748267553
1.28,Harmonic,harmonicity,1.0778748843478607
1.29,Carillon,roughness,0.5624320313944787
1.29,Carillon,harmonicity,0.9423393814607727
1.29,Harmonic,roughness,0.3399154171056444
1.29,Harmonic,harmonicity,1.0706708709051012
1.3,Carillon,roughness,0.5611881900681914
1.3,Carillon,harmonicity,0.9427760572785983
1.3,Harmonic,roughness,0.33744448299354335
1.3,Harmonic,harmonicity,1.068119506862564
1.31,Carillon,roughness,0.5598023594101953
1.31,Carillon,harmonicity,0.9446611703379909
1.31,Harmonic,roughness,0.33498893411503744
1.31,Harmonic,harmonicity,1.0614193866977857
1.32,Carillon,roughness,0.55838169173084
1.32,Carillon,harmonicity,0.9436207132441751
1.32,Harmonic,roughness,0.3325483429726885
1.32,Harmonic,harmonicity,1.057197467198077
1.33,Carillon,roughness,0.5569273956310444
1.33,Carillon,harmonicity,0.9449165588056287
1.33,Harmonic,roughness,0.330122194115212
1.33,Harmonic,harmonicity,1.0548091750819995
1.34,Carillon,roughness,0.55544065236513
1.34,Carillon,harmonicity,0.9434949194614425
1.34,Harmonic,roughness,0.32770988548256985
1.34,Harmonic,harmonicity,1.0497695296461278
1.35,Carillon,roughness,0.5539226164881448
1.35,Carillon,harmonicity,0.9443625990144758
1.35,Harmonic,roughness,0.3253107299545944
1.35,Harmonic,harmonicity,1.0466301690323274
1.36,Carillon,roughness,0.5523744165692814
1.36,Carillon,harmonicity,0.9428553274133761
1.36,Harmonic,roughness,0.3229239571321208
1.36,Harmonic,harmonicity,1.0439085736827234
1.37,Carillon,roughness,0.5507971559729247
1.37,Carillon,harmonicity,0.9432788902262444
1.37,Harmonic,roughness,0.3205487153821453
1.37,Harmonic,harmonicity,1.0427029318143146
1.3800000000000001,Carillon,roughness,0.5491919137091122
1.3800000000000001,Carillon,harmonicity,0.9417676472502762
1.3800000000000001,Harmonic,roughness,0.3181840741811394
1.3800000000000001,Harmonic,harmonicity,1.039787170273229
1.3900000000000001,Carillon,roughness,0.5475597453553847
1.3900000000000001,Carillon,harmonicity,0.9410096556933908
1.3900000000000001,Harmonic,roughness,0.31582902679357017
1.3900000000000001,Harmonic,harmonicity,1.0384070729747024
1.4000000000000001,Carillon,roughness,0.5459016840521556
1.4000000000000001,Carillon,harmonicity,0.9402706233334223
1.4000000000000001,Harmonic,roughness,0.31348249332581635
1.4000000000000001,Harmonic,harmonicity,1.0374846181879909
1.41,Carillon,roughness,0.5442187415740124
1.41,Carillon,harmonicity,0.9395099475260908
1.41,Harmonic,roughness,0.3111433241989038
1.41,Harmonic,harmonicity,1.037921348410966
1.42,Carillon,roughness,0.5425119094795566
1.42,Carillon,harmonicity,0.9389272899506506
1.42,Harmonic,roughness,0.30881030408710775
1.42,Harmonic,harmonicity,1.0369941272854328
1.43,Carillon,roughness,0.5407821603425628
1.43,Carillon,harmonicity,0.9372059915673688
1.43,Harmonic,roughness,0.30648215637332377
1.43,Harmonic,harmonicity,1.037405870858239
1.44,Carillon,roughness,0.5390304490675364
1.44,Carillon,harmonicity,0.9373422679997443
1.44,Harmonic,roughness,0.30415754817613716
1.44,Harmonic,harmonicity,1.0382358922548196
1.45,Carillon,roughness,0.5372577142929608
1.45,Carillon,harmonicity,0.9358315068376483
